image_path,class_name,labels
/kaggle/input/van-gogh-paintings/Paris/Vase with Red Poppies.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with a Japanese Print.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Carnations 3.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Apples.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Windmill on Montmartre.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait in Front of the Easel.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Walk Along the Banks of the Seine Near Asnieres.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Sloping Path in Montmartre.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Pont du Carrousel and the Louvre.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Basket of Apples to Lucien Pissarro.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Street Scene in Montmartre.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Wheat Field with a Lark.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Horse.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Still Life with Grapes, Pears and Lemons.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/Still Life with Bloaters 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Terrace of a Cafe on Montmartre La Guinguette.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Vase with Poppies, Cornflowers, Peonies and Chrysanthemums.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/Vase with Carnations and Roses and a Bottle.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Pipe and Glass.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait 6.jpg,Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Vase with Asters, Salvia and Other Flowers.jpg",Paris,6
"/kaggle/input/van-gogh-paintings/Paris/Still Life with Apples, Pears, Lemons and Grapes.jpg",Paris,6
/kaggle/input/van-gogh-paintings/Paris/Portrait of a Man with a Skull Cap.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Self-Portrait with Straw Hat 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Plaster Statuette of a Female Torso 2.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/Three Pairs of Shoes.jpg,Paris,6
/kaggle/input/van-gogh-paintings/Paris/The Still Life with Abs.jpg,Paris,6
